[2021-10-23T12:08:31.055733] data: motion: 235, sound: 56.17, illuminace: 513.17, temperature: 25.43
[2021-10-23T12:08:31.055810] data: motion: 235, sound: 57.14, illuminace: 513.17, temperature: 25.43
[2021-10-23T12:08:31.055879] data: motion: 235, sound: 57.14, illuminace: 514.73, temperature: 25.43
[2021-10-23T12:08:31.055943] data: motion: 235, sound: 57.14, illuminace: 514.73, temperature: 25.43
[2021-10-23T12:08:31.056011] data: motion: 235, sound: 57.14, illuminace: 514.73, temperature: 25.43
[2021-10-23T12:08:31.056078] data: motion: 235, sound: 57.14, illuminace: 514.73, temperature: 25.43
[2021-10-23T12:08:31.056141] data: motion: 235, sound: 57.14, illuminace: 514.73, temperature: 25.43
[2021-10-23T12:08:31.056205] data: motion: 147, sound: 57.14, illuminace: 514.73, temperature: 25.43
[2021-10-23T12:08:31.056268] data: motion: 147, sound: 57.14, illuminace: 514.73, temperature: 25.43
[2021-10-23T12:08:31.056336] data: motion: 147, sound: 54.44, illuminace: 514.73, temperature: 25.43
[2021-10-23T12:08:31.056403] data: motion: 147, sound: 54.44, illuminace: 514.73, temperature: 25.43
[2021-10-23T12:08:31.056466] data: motion: 726, sound: 54.44, illuminace: 514.73, temperature: 25.43
[2021-10-23T12:08:31.056530] data: motion: 726, sound: 54.44, illuminace: 514.73, temperature: 25.43
[2021-10-23T12:08:31.219621] data: motion: 726, sound: 54.44, illuminace: 514.73, temperature: 25.43
[2021-10-23T12:08:31.239755] data: motion: 726, sound: 54.44, illuminace: 514.73, temperature: 25.43
[2021-10-23T12:08:31.406113] data: motion: 726, sound: 54.44, illuminace: 514.73, temperature: 25.44
[2021-10-23T12:08:31.459277] data: motion: 726, sound: 54.44, illuminace: 514.73, temperature: 25.44
[2021-10-23T12:08:32.106772] data: motion: 726, sound: 54.44, illuminace: 514.73, temperature: 25.43
[2021-10-23T12:08:32.176321] data: motion: 726, sound: 54.44, illuminace: 514.73, temperature: 25.43
[2021-10-23T12:08:33.180734] data: motion: 726, sound: 60.28, illuminace: 514.73, temperature: 25.43
[2021-10-23T12:08:33.196272] data: motion: 726, sound: 60.28, illuminace: 513.95, temperature: 25.43
[2021-10-23T12:08:33.244805] data: motion: 726, sound: 60.28, illuminace: 513.95, temperature: 25.43
[2021-10-23T12:08:33.273107] data: motion: 1291, sound: 60.28, illuminace: 513.95, temperature: 25.43
[2021-10-23T12:08:33.286050] data: motion: 1291, sound: 60.28, illuminace: 513.95, temperature: 25.43
[2021-10-23T12:08:33.314484] data: motion: 1291, sound: 60.28, illuminace: 513.95, temperature: 25.43
[2021-10-23T12:08:33.366514] data: motion: 1291, sound: 60.28, illuminace: 513.95, temperature: 25.43
[2021-10-23T12:08:33.406432] data: motion: 1291, sound: 60.28, illuminace: 513.95, temperature: 25.43
[2021-10-23T12:08:34.147326] data: motion: 1291, sound: 61.37, illuminace: 513.95, temperature: 25.43
[2021-10-23T12:08:34.180267] data: motion: 1291, sound: 61.37, illuminace: 513.95, temperature: 25.43
[2021-10-23T12:08:34.232142] data: motion: 1291, sound: 61.37, illuminace: 510.43, temperature: 25.43
[2021-10-23T12:08:34.256923] data: motion: 983, sound: 61.37, illuminace: 510.43, temperature: 25.43
[2021-10-23T12:08:34.265818] data: motion: 983, sound: 61.37, illuminace: 510.43, temperature: 25.43
[2021-10-23T12:08:34.304406] data: motion: 983, sound: 61.37, illuminace: 510.43, temperature: 25.43
[2021-10-23T12:08:35.307594] data: motion: 983, sound: 61.37, illuminace: 510.43, temperature: 25.43
[2021-10-23T12:08:35.363333] data: motion: 983, sound: 61.37, illuminace: 510.43, temperature: 25.43
[2021-10-23T12:08:35.461242] data: motion: 983, sound: 63.54, illuminace: 510.43, temperature: 25.43
[2021-10-23T12:08:35.468605] data: motion: 983, sound: 63.54, illuminace: 510.43, temperature: 25.43
[2021-10-23T12:08:35.486265] data: motion: 983, sound: 63.54, illuminace: 500.29, temperature: 25.43
